gutenberg_id,goodreads_id,goodreads_title,goodreads_author,goodreads_description,goodreads_average_rating,goodreads_rating_dist,goodreads_ratings_count,goodreads_text_reviews_count,goodreads_num_pages,goodreads_publisher,goodreads_language_code,goodreads_image_url,goodreads_small_image_url,goodreads_isbn,goodreads_isbn_13,goodreads_link
40000,21164550,Extinct Birds An attempt to unite in one volume a short account of those Birds which have become extinct in historical times,Walter Rothschild,,3.40,5:2|4:0|3:2|2:0|1:1|total:5,5,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/21164550-extinct-birds-an-attempt-to-unite-in-one-volume-a-short-account-of-those
40001,21024996,An English Girl's First Impressions of Burmah,Beth Ellis,,3.08,5:1|4:6|3:1|2:3|1:2|total:13,8,2,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/21024996-an-english-girl-s-first-impressions-of-burmah
40002,28156788,The Die Varieties of the Nesbitt Series of United States Envelopes,Victor Maximilian Berthold,"""The Die Varieties of the Nesbitt Series of United States Envelopes"" from Victor Maximilian Berthold. (1856-1932).",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,112,Createspace Independent Publishing Platform,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1519598033,9781519598035,https://www.goodreads.com/book/show/28156788-the-die-varieties-of-the-nesbitt-series-of-united-states-envelopes
40003,24550100,Australian Heroes and Adventurers,William Pyke,,3.50,5:0|4:1|3:1|2:0|1:0|total:2,2,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/24550100-australian-heroes-and-adventurers
40004,8231280,"The Legend Of Ulenspiegel And Lamme Goedzak, And Their Adventures Heroical, Joyous And Glorious In The Land Of Flanders & Elsewhere: Volume Ii",Charles de Coster,"The Legend Of Ulenspiegel And Lamme Goedzak, And Their Adventures Heroical, Joyous And Glorius In The Land Of Flanders &amp; Elsewhere: Volume II. Many of the earliest books, particularly those dating back to the 1900s and before, are now extremely scarce and increasingly expensive. We are republishing these classic works in affordable, high quality, modern editions, using the original text and artwork.",3.82,5:196|4:221|3:147|2:47|1:23|total:634,0,0,364,Mitchell Press,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1443714925,9781443714921,https://www.goodreads.com/book/show/8231280-the-legend-of-ulenspiegel-and-lamme-goedzak-and-their-adventures-heroic
40005,24625874,North American Recent Soft-shelled Turtles (Family Trionychidae),Robert G. Webb,,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/24625874-north-american-recent-soft-shelled-turtles
40006,26332314,"Margaret Capel, vol. 1 of 3 A Novel",Ellen Wallace,,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/26332314-margaret-capel-vol-1-of-3-a-novel
40008,42694987,"The Autobiography of a Cornish Smuggler: (captain Harry Carter, of Prussia Cove) 1749-1809",Harry Carter,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface.<br /><br />We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,182,Franklin Classics,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548572385l/42694987._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548572385l/42694987._SX50_.jpg,0342786423,9780342786428,https://www.goodreads.com/book/show/42694987-the-autobiography-of-a-cornish-smuggler
40009,25231290,"Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 5 ""Indole"" to ""Insanity""",Various,,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/25231290-encyclopaedia-britannica-11th-edition-volume-14-slice-5-indole-to
40010,19311097,Summer Cruising in the South Seas,Charles Warren Stoddard,,3.00,5:0|4:0|3:1|2:0|1:0|total:1,0,0,,,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19311097-summer-cruising-in-the-south-seas
40012,18709602,"Ein Buch, das gern ein Volksbuch werden möchte (German Edition)",Marie von Ebner-Eschenbach,"Bei diesem Werk handelt es sich um eine urheberrechtsfreie Ausgabe.<br />Der Kauf dieser Kindle-Edition beinhaltet die kostenlose, drahtlose Lieferung auf Ihren Kindle oder Ihre Kindle-Apps.",2.50,5:0|4:0|3:1|2:1|1:0|total:2,2,0,,,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/18709602-ein-buch-das-gern-ein-volksbuch-werden-m-chte
40013,21234969,The Master Of Warlock A Virginia War Story,George Cary Eggleston,,4.00,5:1|4:0|3:1|2:0|1:0|total:2,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/21234969-the-master-of-warlock-a-virginia-war-story
40014,365884,John Burnet of Barns,John Buchan,This historical adventure romance portrays the lives of the Covenanters in the Scottish Borders. It is the seventeenth century and treachery and revenge feature when a young nobleman sets out to gain an education abroad. In his absence he is betrayed by his cousin.,3.48,5:6|4:26|3:29|2:4|1:1|total:66,44,6,346,House of Stratus,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314997156l/365884._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314997156l/365884._SX50_.jpg,1842327755,9781842327753,https://www.goodreads.com/book/show/365884.John_Burnet_of_Barns
40015,21840028,A Boy Scout's Courage,Edward Howard Griggs,"""As long as I can't be at home, I'd rather be here than anywhere in the world I can think of!"" Was it little more than a week, thought Harry Fleming, American Boy Scout living in London, since he had uttered those words so lightly? Was it just a week since Grenfel, his English scoutmaster, had bidden the boys good-bye? Was it just two days since father and mother had been so suddenly recalled to the States? Was it just that very morning that he and his good chum Dick Mercer had been detailed on this mission which had led to the discovery of the secret heliographs so busily sending messages to the enemy across the North Sea? Was it just a few hours since the two Scouts, hot on the trail, had cached papers and motorcycles and started the closer exploration of that mysterious estate outside the sleepy English village, leased, so the village gossip had it, by a rich American who eccentrically denied himself to all comers and zealously guarded the privacy of his grounds?",4.67,5:2|4:1|3:0|2:0|1:0|total:3,3,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/21840028-a-boy-scout-s-courage
40016,374923,The Last Rose Of Summer,Di Morrissey,"• A Compelling story of two remarkable women connected across the decades by the men who love them ... and the magic of a place called Zanana.<br /><br />KATE, a strong-willed heiress determined to defy Edwardian convention, but she must pay the ultimate price to keep the home she loves so much...<br /><br />ODETTE, an independant and idealistic young jounalist caught in a fierce battle to save Zanana from ruthless developers...<br /><br />Years apart yet inextricably linked by Zanana, the magnificent mansion they both love, these two striking women prove they are not afraid to fight for what they believe in.<br /><br />• From turn-of-the century India to contempory Sydney, The Last Rose of Summer is an epic story of love, possession and intrigue.",4.15,5:164|4:132|3:58|2:18|1:4|total:376,166,9,577,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0330273574,9780330273572,https://www.goodreads.com/book/show/374923.The_Last_Rose_Of_Summer
40017,35715156,The Stampede,C.J. Petit,,4.42,5:997|4:522|3:159|2:31|1:18|total:1727,444,8,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/35715156-the-stampede
